location,reason,site_id,speed_limit,the_geom
Scona Rd SB between 95A - 94 Ave,Higher Frequency of Speeding;,2640,50,"MULTILINESTRING ((-113.48548206789513 53.533088825608246, -113.48554749176432 53.53298466694139, -113.48558840782769 53.532895882150555, -113.48561450788355 53.53280086919653, -113.4856367709565 53.53266103178431, -113.48566246685694 53.531761778880266, -113.48565538447869 53.531740091179735, -113.48562600593799 53.53171688867924, -113.48558182181377 53.53170556401973, -113.48562174307743 53.53108378901758))"
Yellowhead Tr EB at 215 St,Higher Frequency of Speeding; Higher Frequency of Collisions;,7044,100,"MULTILINESTRING ((-113.69632068275513 53.569708400875165, -113.69481134683481 53.569724391869045, -113.69377986298767 53.56977040843032, -113.69314704089504 53.56980050538205, -113.69161920592731 53.56988565405878, -113.68981932246274 53.57002351826469, -113.68913146970365 53.57008621839832, -113.68893628515131 53.570105026253046, -113.68774066015135 53.57023010531079, -113.68505159896593 53.57057434770853, -113.68429580485983 53.57068709216308, -113.68283998581315 53.57092483301433))"
WB 150 Ave W of 89A - 94 St,Designated Zone - Playground;,4269,30,"MULTILINESTRING ((-113.47978852774396 53.610864005401865, -113.48018691824292 53.6108355311131, -113.48047692148795 53.610821051484905, -113.48117006246865 53.610816360945215, -113.4820479902296 53.61088264443986, -113.48352793290752 53.61102022090719, -113.48384347597676 53.611048397028924, -113.48394213019328 53.61105292002973, -113.4840806348688 53.61105331947206, -113.48419902065588 53.611047928689246, -113.48433580799572 53.611034994323916, -113.48445120672234 53.61101840475548, -113.4845456184548 53.611000791952655, -113.48465617671056 53.610975046259114, -113.48478061989765 53.610938886255184, -113.48491450124074 53.61089053870944, -113.48500598295742 53.610853269724956, -113.48510255540857 53.61080506065486, -113.48519205872648 53.61074916240478, -113.48528239329454 53.610676456813586))"
SB Woodvale Rd E south of 35 Ave - Hillview Cres,Designated Zone - Playground;,4038,30,"MULTILINESTRING ((-113.42476973254007 53.46846379493406, -113.42550495496049 53.46795134955763, -113.4256569947113 53.467853439389124, -113.4258214512267 53.46776295913395, -113.42599731552528 53.46768046552919, -113.42618358419435 53.46760655128571))"
NB 106 St Btwn 31 - 32A Ave,Designated Zone - Playground;,4150,30,"MULTILINESTRING ((-113.5025464628128 53.463367699940754, -113.5027786142195 53.46360712836758, -113.50298927906893 53.46385629688619, -113.50318324937632 53.464110249914654, -113.5033609276406 53.46436841409483, -113.50352080395518 53.46463072751192, -113.50366314830231 53.464896612652275, -113.50378774517117 53.46516567149693, -113.50389139000721 53.465437878216655))"
132 Ave EB between Delwood Rd - 79 St,Higher Frequency of Speeding;,2473,50,"MULTILINESTRING ((-113.46379097079475 53.59223156209983, -113.46180964173803 53.59223487355991))"
WB Hemmingway Rd Btwn 201-204 St,Designated Zone - Playground;,4171,30,"MULTILINESTRING ((-113.66781534622508 53.48796710427873, -113.66852866070967 53.487943315331314, -113.66897007110438 53.48793845240441, -113.66939099880068 53.487917795745034, -113.670086460766 53.48788152941849, -113.67078200604666 53.48783434843061, -113.67138591264899 53.487808732279355, -113.67224588977572 53.48778927185184, -113.67262703416776 53.487782232553656))"
NB Windermere Rd Btwn Windermere Blvd-Whitelaw Ln,Designated Zone - Playground;,4181,30,"MULTILINESTRING ((-113.6187408392143 53.43929262914143, -113.618594684301 53.43953584023401, -113.61852171332735 53.4396473353132, -113.61842490308841 53.43977243467889, -113.61814934204796 53.44013640339239, -113.61788083052878 53.44045672773714, -113.61746535880661 53.44083354670551, -113.61690144212686 53.44124876134234, -113.6165257279473 53.44149051369548, -113.61611496835425 53.44172347615513, -113.6155625894671 53.441991870329105, -113.61486078947289 53.442309173445146))"
Whitemud Dr WB at 111 St.,Higher Frequency of Collisions;,7022,80,"MULTILINESTRING ((-113.51009706541402 53.48221614219994, -113.51051582715087 53.482269298899396, -113.51186401196863 53.48242456432813, -113.5136795034451 53.482613734389965, -113.51592031351908 53.48282582541108, -113.51612094677927 53.482842317700175, -113.51732083035411 53.482927403665656, -113.51750597651247 53.48293576426482, -113.51846050674318 53.48300405856787, -113.51952233667066 53.48306827821056, -113.52073553481114 53.48312338062855, -113.52133168960937 53.48314048892954, -113.52201418086884 53.48316039277385, -113.52427359441104 53.48318309955214))"
91 St SB between 23 Ave - Anthony Henday Dr,Higher Frequency of Speeding; Higher Frequency of Collisions;,7166,70,"MULTILINESTRING ((-113.46669240075177 53.44052534692393, -113.46669744344793 53.440687772127546, -113.46677213952239 53.442216757464806, -113.46678205030993 53.442826210809606, -113.46679821391332 53.44445643491595, -113.46683553296562 53.448994620012314, -113.46683666620251 53.45014790395813, -113.46686367259534 53.45137150842132))"
WB Cumberland Rd btwn W of 134 - 139 St,Designated Zone - Playground;,4275,30,"MULTILINESTRING ((-113.55238833693815 53.60764782766118, -113.55313738961713 53.60766782673047, -113.55393090305293 53.60772535376712, -113.55485923898087 53.60782961488207, -113.55613990661858 53.6080345437866, -113.5564067365993 53.60806753453922, -113.55669108450518 53.60809380164365, -113.55745901185377 53.60810609412621, -113.55801638152845 53.60810890502896, -113.56004559147871 53.60812161694286))"
NB 95 St N of 171 - 174 Ave,Designated Zone - Playground;,4216,30,"MULTILINESTRING ((-113.48852829765524 53.633993543551675, -113.48845744141484 53.634172012151396, -113.4882452580574 53.63479646037962, -113.48817128358225 53.634994381566536, -113.48806698347948 53.635576212311676, -113.48799581295918 53.6359254773914, -113.48797357867558 53.636359329087576))"
SB 165 St btwn N of 97 - 95 Ave,Designated Zone - Playground;,4084,30,"MULTILINESTRING ((-113.60595317858 53.53640696542803, -113.60597947572516 53.534923460868654, -113.6059844815144 53.53445492116703, -113.60598995693597 53.53394243791152, -113.60599403414089 53.53356090188624, -113.60600329781553 53.53347758199289, -113.60603098436592 53.53339127923976, -113.60606990833192 53.53331806294757, -113.60611836407296 53.53325221599472, -113.60617736323766 53.533190204817174, -113.60624220871082 53.533135472639465, -113.60662786708215 53.53284100946843, -113.60693401966101 53.53260724737407, -113.60701560042747 53.53253851659603, -113.607080943921 53.5324713076549, -113.60712551735104 53.532415944962764, -113.60715773578522 53.53236847988824, -113.60719375470777 53.532303114620674, -113.60722558622003 53.532223119878665, -113.60724438498255 53.532145221886935, -113.60725167314098 53.53206287396693, -113.60725504270702 53.53175721675428, -113.60725658092433 53.53161769995386))"
EB 80 Ave btwn 166 - 163 St,Designated Zone - Playground;,4078,30,"MULTILINESTRING ((-113.60791129414075 53.51374658880191, -113.60776635332499 53.513739399931595, -113.60762099403027 53.513736880443, -113.60411741737137 53.51373401208495, -113.60339103230643 53.513731899404654, -113.60264238112902 53.51373772563504))"
EB 105 Ave btwn 139 - 136 St,Designated Zone - Playground;,4082,30,"MULTILINESTRING ((-113.56138243981567 53.5477780025022, -113.56053051773166 53.54777280842643, -113.55968500643613 53.54776764715967, -113.55884721844933 53.54777225369903, -113.55800836050317 53.54777686030054, -113.55716449326539 53.547773499762606, -113.55631796024353 53.547770121583945))"
113A St NB between 134 - 136 Ave,Higher Frequency of Speeding;,2615,50,"MULTILINESTRING ((-113.51653946467151 53.59492573464502, -113.516532036322 53.59497903250688, -113.5165493832375 53.59537369883164, -113.51656426256699 53.59707060775587, -113.5165869678658 53.59833561259838, -113.51659414132006 53.598387259399296))"
66 St NB between 144 - 149 Ave,Higher Frequency of Collisions;,2482,60,"MULTILINESTRING ((-113.44273978217605 53.60491093067245, -113.44273125147093 53.61015455585017))"
SB 96 St N of 68 - 66 Ave,Designated Zone - Playground;,4118,30,"MULTILINESTRING ((-113.4764379428954 53.50488158918929, -113.47644280404027 53.50438739060555, -113.47644331812675 53.5038949018642, -113.47644528931359 53.502897965222026))"
82 Ave WB between 87 - 89 St,Higher Frequency of Speeding;,2502,50,"MULTILINESTRING ((-113.46135671020797 53.51802965229638, -113.46278211311747 53.51802824306034, -113.46309100070044 53.518027909727095, -113.4643895430511 53.51802663315726))"
NB 117 St Btwn 142 - 144 Ave,Designated Zone - Playground;,4254,30,"MULTILINESTRING ((-113.52279779688448 53.60401575483881, -113.52292372989955 53.60430653594695, -113.52314656058074 53.604936959716845, -113.52323642142441 53.60543750121322, -113.5232736386132 53.60572609529087, -113.52327617398953 53.606184657096506, -113.52320643959435 53.606636357778484))"
NB 145 St btwn 88 - 89A Ave,Designated Zone - Playground;,4079,30,"MULTILINESTRING ((-113.57027375729068 53.52035166036112, -113.5702769363755 53.520803237143475, -113.57028168984884 53.522157764081726))"
SB 117 St Btwn 144 - 142 Ave,Designated Zone - Playground;,4255,30,"MULTILINESTRING ((-113.52320643959435 53.606636357778484, -113.52327617398953 53.606184657096506, -113.5232736386132 53.60572609529087, -113.52323642142441 53.60543750121322, -113.52314656058074 53.604936959716845, -113.52292372989955 53.60430653594695, -113.52279779688448 53.60401575483881))"
NB 76 St btwn 38 Ave south of 40 Ave,Designated Zone - Playground;,4115,30,"MULTILINESTRING ((-113.44955637868586 53.47376229667625, -113.44986184289937 53.474217157096184, -113.4509879677021 53.47587492876155, -113.4510919055322 53.47604177902762))"
NB 175 St btwn 82 - 85 Ave,Designated Zone - Playground;,4212,30,"MULTILINESTRING ((-113.62318526352375 53.51542578565343, -113.62409980679737 53.51841735698799))"
EB 104 Ave btwn 161 - 159 St,Designated Zone - Playground;,4076,30,"MULTILINESTRING ((-113.59923199849672 53.546409948907694, -113.5983296118604 53.54641122059252, -113.59743658569136 53.54641247294431, -113.59655296466337 53.546404724846425, -113.59566982524639 53.54639697454361))"
EB 76 Ave btwn 106 - 105 St,Designated Zone - Playground;,4114,30,"MULTILINESTRING ((-113.50443277215942 53.512271277968075, -113.5025948550577 53.512270880181205, -113.50160128997227 53.51228871686116, -113.50133784071872 53.51230457230169, -113.50046932063422 53.512324163842344))"
NB 72 St Btwn 144 - 149 A Ave,Designated Zone - Playground;,4220,30,"MULTILINESTRING ((-113.45101177234885 53.60593250029876, -113.44959936648301 53.60826899396295, -113.4494162869445 53.60854306030636, -113.44926615895119 53.60880604738149, -113.44915572907676 53.609097260281324, -113.44909789708865 53.60934219681945, -113.44906447817723 53.60961974242968, -113.44907030832437 53.61015462268743, -113.44907102889546 53.61135948916449))"
144 Ave EB between 94 - 92 St,Higher Frequency of Speeding;,2577,50,"MULTILINESTRING ((-113.48510544564265 53.60622956678838, -113.48247313967063 53.60584235670764))"
EB 149 A Ave Btwn 78 - W of 75A St,Designated Zone - Playground;,4160,30,"MULTILINESTRING ((-113.4624252507675 53.61054492912476, -113.46096893548119 53.6107577235999, -113.4597340773178 53.61098495759149, -113.45829127379085 53.61118395118067))"
SB 106 St btwn 42 - 40 Ave,Designated Zone - Playground;,4054,30,"MULTILINESTRING ((-113.5043428131639 53.47879978488189, -113.50431068682681 53.47705960991973, -113.50432128251263 53.47690034545769, -113.50435521966958 53.47675387876239, -113.5044053029263 53.47662431268794, -113.50446694262129 53.47650853696366, -113.50454857540309 53.47638909598769, -113.50465210960273 53.47626792425066, -113.50475850382094 53.47616510582059, -113.50488708621677 53.476060493036385, -113.50618113997022 53.4750938961612))"
EB 144 Ave E of 92 St - 88A St,Designated Zone - Playground;,4092,30,"MULTILINESTRING ((-113.48060403267911 53.60569826101798, -113.48058719856951 53.605698002846616, -113.48039456382783 53.60569752786281, -113.47812345687258 53.6057072736759, -113.4777852382729 53.60571326112763, -113.47745296546996 53.60572801509335, -113.4771406543223 53.605749979391604, -113.47686517848936 53.60577595796068, -113.47670918379242 53.60579345808976))"
WB 12 Ave btwn 113 St - Twin Brooks Dr,Designated Zone – Playground;,4317,30,"MULTILINESTRING ((-113.52471559113005 53.443000492718575, -113.52489559999987 53.44301760126476, -113.52513688270393 53.44305500390776, -113.52537319829315 53.4431090790015, -113.52560860470676 53.44318253673612, -113.52581348230856 53.44326531817585, -113.52600084840437 53.44335935053526, -113.526184476201 53.443475063930684, -113.52628725610745 53.4435504348755, -113.5263404202783 53.4435961452401, -113.52677506990364 53.44393484561506, -113.52698450844527 53.44408492418093, -113.52721710908706 53.444222307647344))"
